Trainer ID,Name,Gender,Email,Phone Number,Employment Status,Certificates,Specialization,Salary,Hiring Date,Seniority
30107,Ali ElSawy,M,alielsawy@gmail.com,1261497840,Active,NASM (National Academy of Sports Medicine),Lifestyle Coach,7906,2023-03-25,Junior
30190,Nourhan Mahmoud,F,nourhanmahmoud@gmail.com,1249733484,Active,NSCA (National Strength and Conditioning Association); ISSA (International Sports Sciences Association); NASM (National Academy of Sports Medicine),Bodybuilding Coach,10799,2023-11-04,Senior
30162,Ramadan Morsy,M,ramadanmorsy@gmail.com,1191146786,Active,ISSA (International Sports Sciences Association); CPR & First Aid Certified,Personal Trainer,10410,2023-05-14,Senior
30200,Fathy Adel,M,fathyadel@gmail.com,1528743152,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Exercise Specialist,10181,2024-07-06,Senior
30035,Hesham Khedr,M,heshamkhedr@gmail.com,1549894134,Active,CrossFit Level 1 Trainer; ISSA (International Sports Sciences Association),Personal Trainer,11390,2025-05-12,Senior
30175,Marwan Naguib,M,marwannaguib@gmail.com,1574701687,Active,CrossFit Level 1 Trainer,Personal Trainer,7653,2025-01-10,Junior
30110,Moe Nabil,M,moenabil@gmail.com,1583885160,Active,ACE (American Council on Exercise); CPR & First Aid Certified; ISSA (International Sports Sciences Association),Athletic Trainer,8230,2025-05-17,Junior
30197,Bassam Fouad,M,bassamfouad@gmail.com,1534540193,Active,NASM (National Academy of Sports Medicine),Athletic Trainer,7914,2023-05-21,Junior
30072,Gaber Elsherif,M,gaberelsherif@gmail.com,1169594406,Active,CrossFit Level 1 Trainer,Athletic Trainer,10420,2024-12-24,Senior
30112,Bilal Shawky,M,bilalshawky@gmail.com,1541605297,Active,ACSM (American College of Sports Medicine),Fitness Trainer,7802,2023-09-02,Junior
30061,Tarek Ramy,M,tarekramy@gmail.com,1196360576,Active,CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine),Wellness Specialist,11904,2022-08-09,Senior
30119,Alaa Shoukry,M,alaashoukry@gmail.com,1047700541,Active,ACSM (American College of Sports Medicine); ACE (American Council on Exercise); NSCA (National Strength and Conditioning Association),Health Coach,8571,2024-05-04,Junior
30033,Magdy Fathy,M,magdyfathy@gmail.com,1268557444,Active,NASM (National Academy of Sports Medicine); NSCA (National Strength and Conditioning Association); CPR & First Aid Certified,Lifestyle Coach,11109,2023-06-09,Senior
30142,Gabriel ElHusseiny,M,gabrielelhusseiny@gmail.com,1146095396,Active,NSCA (National Strength and Conditioning Association),Fitness Trainer,7013,2024-12-06,Junior
30194,Maha Elsherif,F,mahaelsherif@gmail.com,1184842199,Active,NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise); ACSM (American College of Sports Medicine),Personal Trainer,7651,2025-08-15,Junior
30012,Gaber Hassan,M,gaberhassan@gmail.com,1043455812,Active,CPR & First Aid Certified,Health Coach,8132,2023-06-30,Junior
30154,Ashraf Saleh,M,ashrafsaleh@gmail.com,1197021355,Active,ISSA (International Sports Sciences Association); ACSM (American College of Sports Medicine),Personal Trainer,8097,2024-08-22,Junior
30008,Zakaria Saleh,M,zakariasaleh@gmail.com,1563201632,Active,CPR & First Aid Certified; ACE (American Council on Exercise); NSCA (National Strength and Conditioning Association),Sports Coach,8547,2025-07-15,Junior
30113,Khaled Helmy,M,khaledhelmy@gmail.com,1216136968,Active,CPR & First Aid Certified; NSCA (National Strength and Conditioning Association),Personal Trainer,11080,2022-08-23,Senior
30189,Ahmed Habeeb,M,ahmedhabeeb@gmail.com,1278652785,Active,ACSM (American College of Sports Medicine); CPR & First Aid Certified; CrossFit Level 1 Trainer,Sports Coach,10821,2023-09-26,Senior
30066,Walaa Kamal,F,walaakamal@gmail.com,1061172400,Active,NASM (National Academy of Sports Medicine); ACSM (American College of Sports Medicine); ISSA (International Sports Sciences Association),Sports Coach,11701,2025-08-01,Senior
30153,Amr Youssef,M,amryoussef@gmail.com,1540165820,Active,ACSM (American College of Sports Medicine); ACE (American Council on Exercise),Exercise Specialist,7336,2025-02-25,Junior
30096,Walid Fahmy,M,walidfahmy@gmail.com,1566156545,Active,ISSA (International Sports Sciences Association); CrossFit Level 1 Trainer; ACE (American Council on Exercise),Lifestyle Coach,8910,2023-07-20,Junior
30014,Sawsan Mostafa,F,sawsanmostafa@gmail.com,1560366909,Non Active,ACE (American Council on Exercise); CrossFit Level 1 Trainer; ISSA (International Sports Sciences Association),Personal Trainer,8266,2023-01-17,Junior
30186,Amr Tawfik,M,amrtawfik@gmail.com,1528962309,Active,NSCA (National Strength and Conditioning Association),Fitness Trainer,10825,2023-07-09,Senior
30160,Karim Shawky,M,karimshawky@gmail.com,1242258313,Active,ACSM (American College of Sports Medicine),Personal Trainer,11777,2025-09-19,Senior
30059,Hany Naguib,M,hanynaguib@gmail.com,1204499727,Active,CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine); NSCA (National Strength and Conditioning Association),Athletic Trainer,7937,2022-08-09,Junior
30001,Nabila ElSayed,F,nabilaelsayed@gmail.com,1088356159,Active,CPR & First Aid Certified; ISSA (International Sports Sciences Association),Exercise Specialist,10201,2021-11-08,Senior
30039,Lina Ramy,F,linaramy@gmail.com,1067190229,Non Active,NSCA (National Strength and Conditioning Association); CPR & First Aid Certified; ACSM (American College of Sports Medicine),Health Coach,11949,2024-01-29,Senior
30151,Maysa Badr,F,maysabadr@gmail.com,1184511544,Active,NASM (National Academy of Sports Medicine); ACE (American Council on Exercise),Exercise Specialist,10836,2024-06-01,Senior
30030,Laila Hassan,F,lailahassan@gmail.com,1249480831,Active,ACSM (American College of Sports Medicine),Wellness Specialist,10322,2024-01-29,Senior
30076,Sahar Elsherif,F,saharelsherif@gmail.com,1132858842,Active,CrossFit Level 1 Trainer; ACE (American Council on Exercise),Personal Trainer,7209,2025-08-18,Junior
30013,Ilyas Hassan,M,ilyashassan@gmail.com,1136231665,Active,CrossFit Level 1 Trainer,Health Coach,11899,2025-02-04,Senior
30159,Saber Mansour,M,sabermansour@gmail.com,1072715518,Active,CrossFit Level 1 Trainer; ACSM (American College of Sports Medicine),Fitness Trainer,7532,2023-08-11,Junior
30183,Ebtisam Mostafa,F,ebtisammostafa@gmail.com,1226949588,Active,NSCA (National Strength and Conditioning Association),Fitness Trainer,7077,2023-08-10,Junior
30148,Heba Adel,F,hebaadel@gmail.com,1540345054,Active,CPR & First Aid Certified,Bodybuilding Coach,11878,2023-03-03,Senior
30100,Mohsen Hassan,M,mohsenhassan@gmail.com,1127315851,Active,ACSM (American College of Sports Medicine); ACE (American Council on Exercise); CPR & First Aid Certified,Bodybuilding Coach,11931,2023-04-13,Senior
30170,Intisar Ramy,F,intisarramy@gmail.com,1547102767,Active,ACSM (American College of Sports Medicine); NASM (National Academy of Sports Medicine),Lifestyle Coach,7981,2022-12-22,Junior
30157,Saber Gaber,M,sabergaber@gmail.com,1002786814,Active,CPR & First Aid Certified,Sports Coach,8754,2024-06-21,Junior
30028,Ramadan Mohamed,M,ramadanmohamed@gmail.com,1114737996,Active,ACSM (American College of Sports Medicine); CPR & First Aid Certified,Exercise Specialist,11056,2023-03-28,Senior
30083,Tahany Abd Elaziz,F,tahanyabdelaziz@gmail.com,1161796405,Active,CrossFit Level 1 Trainer; CPR & First Aid Certified,Fitness Trainer,7277,2024-04-09,Junior
30179,Bilal Farouk,M,bilalfarouk@gmail.com,1216878499,Active,CrossFit Level 1 Trainer; NASM (National Academy of Sports Medicine),Health Coach,8733,2025-08-03,Junior
30094,Mansour ElSayed,M,mansourelsayed@gmail.com,1269847896,Active,ACSM (American College of Sports Medicine),Exercise Specialist,13647,2024-06-09,Fitness Manager
30068,Tahany Fouad,F,tahanyfouad@gmail.com,1592221969,Active,NASM (National Academy of Sports Medicine),Exercise Specialist,10970,2022-01-07,Senior
30026,Youssef Barakat,M,youssefbarakat@gmail.com,1571657262,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine),Personal Trainer,11530,2024-09-20,Senior
30081,Moataz Sultan,M,moatazsultan@gmail.com,1512004711,Active,NSCA (National Strength and Conditioning Association); NASM (National Academy of Sports Medicine); ISSA (International Sports Sciences Association),Athletic Trainer,7718,2024-12-13,Junior
30057,Ibrahim Farouk,M,ibrahimfarouk@gmail.com,1267737826,Active,CrossFit Level 1 Trainer; ACE (American Council on Exercise); NSCA (National Strength and Conditioning Association),Athletic Trainer,10379,2023-02-13,Senior
30181,Lotfy ElSayed,M,lotfyelsayed@gmail.com,1198680002,Active,NSCA (National Strength and Conditioning Association); NASM (National Academy of Sports Medicine); CrossFit Level 1 Trainer,Wellness Specialist,7057,2025-04-29,Junior
30130,Sanaa ElSawy,F,sanaaelsawy@gmail.com,1196222927,Active,NASM (National Academy of Sports Medicine); ISSA (International Sports Sciences Association); CrossFit Level 1 Trainer,Exercise Specialist,10975,2022-04-28,Senior
30127,Ibrahim Yasin,M,ibrahimyasin@gmail.com,1228168505,Active,CrossFit Level 1 Trainer; ISSA (International Sports Sciences Association); ACE (American Council on Exercise),Sports Coach,7341,2024-02-05,Junior
30108,Fares Shawky,M,faresshawky@gmail.com,1169003432,Active,ACSM (American College of Sports Medicine); ISSA (International Sports Sciences Association),Health Coach,8541,2022-09-14,Junior
30064,Sherif Farouk,M,sheriffarouk@gmail.com,1545961586,Active,ACSM (American College of Sports Medicine); NSCA (National Strength and Conditioning Association),Bodybuilding Coach,11029,2022-10-04,Senior
30155,Ali Mahmoud,M,alimahmoud@gmail.com,1590927557,Active,CrossFit Level 1 Trainer,Lifestyle Coach,7542,2023-04-22,Junior
30034,Nahed Zaki,F,nahedzaki@gmail.com,1113518233,Active,CPR & First Aid Certified,Bodybuilding Coach,7368,2025-03-19,Junior
30111,Mohsen Ismail,M,mohsenismail@gmail.com,1507159696,Active,CPR & First Aid Certified,Bodybuilding Coach,7420,2024-11-30,Junior
30124,Walid Karam,M,walidkaram@gmail.com,1559051518,Active,CPR & First Aid Certified; CrossFit Level 1 Trainer,Fitness Trainer,9975,2024-07-21,Senior
30098,Hesham Kamal,M,heshamkamal@gmail.com,1180988516,Active,CPR & First Aid Certified; ACE (American Council on Exercise),Personal Trainer,8281,2023-09-22,Junior
30070,Mahmoud Saleh,M,mahmoudsaleh@gmail.com,1074821759,Active,ACE (American Council on Exercise),Exercise Specialist,7851,2024-06-15,Junior
30023,Anas Metwaly,M,anasmetwaly@gmail.com,1024190496,Active,NASM (National Academy of Sports Medicine); ACE (American Council on Exercise),Athletic Trainer,10601,2023-01-29,Senior
30024,Reda Zahran,M,redazahran@gmail.com,1531931491,Active,ISSA (International Sports Sciences Association); ACSM (American College of Sports Medicine),Athletic Trainer,7342,2023-10-30,Junior
30173,Mostafa Fouad,M,mostafafouad@gmail.com,1273210469,Non Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Bodybuilding Coach,7735,2024-09-12,Junior
30191,Ramadan Bayoumi,M,ramadanbayoumi@gmail.com,1144375758,Active,ISSA (International Sports Sciences Association); CPR & First Aid Certified,Sports Coach,8363,2025-01-02,Junior
30051,Dina ElSayed,F,dinaelsayed@gmail.com,1212567468,Active,CPR & First Aid Certified; ACE (American Council on Exercise),Fitness Trainer,13183,2022-08-11,Fitness Manager
30132,Kamal Habeeb,M,kamalhabeeb@gmail.com,1147359774,Active,NASM (National Academy of Sports Medicine),Fitness Trainer,8042,2022-01-10,Junior
30089,Ahmed Rashad,M,ahmedrashad@gmail.com,1239502402,Active,CrossFit Level 1 Trainer,Wellness Specialist,8496,2024-07-14,Junior
30016,Nahed Ramy,F,nahedramy@gmail.com,1173467065,Active,ACSM (American College of Sports Medicine); ISSA (International Sports Sciences Association),Fitness Trainer,9936,2021-11-26,Senior
30086,Fares Youssef,M,faresyoussef@gmail.com,1005329318,Active,ACSM (American College of Sports Medicine); ACE (American Council on Exercise),Health Coach,8295,2023-06-22,Junior
30163,Kawthar Naguib,F,kawtharnaguib@gmail.com,1591251778,Active,ACE (American Council on Exercise),Lifestyle Coach,9844,2024-02-01,Senior
30187,Yunus Badr,M,yunusbadr@gmail.com,1030756263,Active,CrossFit Level 1 Trainer; ISSA (International Sports Sciences Association); ACE (American Council on Exercise),Lifestyle Coach,8443,2023-10-02,Junior
30082,Ziad Sultan,M,ziadsultan@gmail.com,1182675869,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise),Athletic Trainer,8441,2023-08-10,Junior
30104,Hany Metwaly,M,hanymetwaly@gmail.com,1567525459,Active,NSCA (National Strength and Conditioning Association),Sports Coach,8584,2022-10-04,Junior
30062,Alaa Khaled,F,alaakhaled@gmail.com,1527028951,Active,NSCA (National Strength and Conditioning Association); ACE (American Council on Exercise); NASM (National Academy of Sports Medicine),Athletic Trainer,10206,2025-09-28,Senior
30195,Dina Naguib,F,dinanaguib@gmail.com,1130833016,Active,ISSA (International Sports Sciences Association),Lifestyle Coach,7288,2024-04-13,Junior
30017,Yunus ElBaz,M,yunuselbaz@gmail.com,1527298069,Active,ACE (American Council on Exercise),Lifestyle Coach,8559,2022-11-26,Junior
30078,Saber Shoukry,M,sabershoukry@gmail.com,1585160481,Active,NSCA (National Strength and Conditioning Association); CPR & First Aid Certified; ISSA (International Sports Sciences Association),Personal Trainer,9980,2023-04-18,Senior
30099,Nader Saleh,M,nadersaleh@gmail.com,1260494519,Active,ACE (American Council on Exercise); NASM (National Academy of Sports Medicine),Personal Trainer,9889,2022-01-07,Senior
30069,Sayed Abd Elaziz,M,sayedabdelaziz@gmail.com,1179237474,Active,ACSM (American College of Sports Medicine); CrossFit Level 1 Trainer; CPR & First Aid Certified,Bodybuilding Coach,11072,2025-02-11,Senior
30071,Magdy Nabil,M,magdynabil@gmail.com,1264743671,Active,ACE (American Council on Exercise); ISSA (International Sports Sciences Association),Personal Trainer,11815,2022-02-20,Senior
30166,Salma Kamal,F,salmakamal@gmail.com,1214384249,Active,ACSM (American College of Sports Medicine); CrossFit Level 1 Trainer; ACE (American Council on Exercise),Health Coach,7103,2023-07-30,Junior
30020,Adel Khedr,M,adelkhedr@gmail.com,1070805310,Active,ACE (American Council on Exercise); ISSA (International Sports Sciences Association),Wellness Specialist,11945,2024-09-28,Senior
30136,Marwan Barakat,M,marwanbarakat@gmail.com,1206068536,Active,CPR & First Aid Certified; ACE (American Council on Exercise); NASM (National Academy of Sports Medicine),Lifestyle Coach,11841,2024-09-21,Senior
30105,Anas ElMasry,M,anaselmasry@gmail.com,1002290147,Active,ISSA (International Sports Sciences Association); CPR & First Aid Certified,Sports Coach,8153,2022-01-22,Junior
30146,Youssef Saleh,M,youssefsaleh@gmail.com,1227722170,Active,NASM (National Academy of Sports Medicine),Lifestyle Coach,8457,2024-03-15,Junior
30080,Sara Adel,F,saraadel@gmail.com,1098593174,Non Active,NSCA (National Strength and Conditioning Association),Personal Trainer,7285,2023-02-15,Junior
30075,Magdy Helmy,M,magdyhelmy@gmail.com,1509521456,Active,ACSM (American College of Sports Medicine),Bodybuilding Coach,8556,2024-06-09,Junior
30043,Ilyas ElMasry,M,ilyaselmasry@gmail.com,1181206797,Active,ACE (American Council on Exercise); CrossFit Level 1 Trainer,Wellness Specialist,8980,2025-08-11,Junior
30029,Sayed ElBaz,M,sayedelbaz@gmail.com,1207527354,Active,ISSA (International Sports Sciences Association); NSCA (National Strength and Conditioning Association),Sports Coach,8995,2024-09-21,Junior
30133,Tarek Nabil,M,tareknabil@gmail.com,1588623924,Non Active,NASM (National Academy of Sports Medicine); CrossFit Level 1 Trainer,Wellness Specialist,9688,2024-08-28,Senior
30088,Mahdy Adel,M,mahdyadel@gmail.com,1128421020,Active,ACE (American Council on Exercise); CPR & First Aid Certified; CrossFit Level 1 Trainer,Wellness Specialist,7931,2024-09-13,Junior
30087,Ahmed Saleh,M,ahmedsaleh@gmail.com,1193352904,Active,CPR & First Aid Certified; ISSA (International Sports Sciences Association); CrossFit Level 1 Trainer,Health Coach,8297,2022-06-27,Junior
30095,Maha Sultan,F,mahasultan@gmail.com,1018367365,Active,CrossFit Level 1 Trainer,Athletic Trainer,7414,2022-09-15,Junior
